,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_n,neighbourhood_n,room_type_n,neighbourhood_group_le,room_type_le
13747,53228755,Manhattan,Hell's Kitchen,40.75427,-73.9928,Entire home/apt,1,3,0.09,1,0,1,7,1,2,0
26474,151241345,Manhattan,East Harlem,40.79979,-73.94104,Entire home/apt,1,1,0.05,1,0,1,4,1,2,0
33432,198478845,Brooklyn,Clinton Hill,40.6867,-73.9612,Private room,4,6,0.87,2,156,0,3,0,1,1
16024,23050317,Brooklyn,Williamsburg,40.70944,-73.9492,Entire home/apt,7,6,0.16,1,0,0,12,1,1,0
26999,64327344,Manhattan,Upper East Side,40.777,-73.94861,Entire home/apt,3,38,1.81,1,0,1,28,1,2,0
21877,51752603,Manhattan,Greenwich Village,40.73104,-73.99831,Private room,3,1,0.04,1,0,1,52,0,2,1
35738,10164435,Manhattan,Nolita,40.72124,-73.99425,Private room,1,28,2.84,3,21,1,64,0,2,1
40126,3744921,Queens,Forest Hills,40.72186,-73.85601,Private room,1,4,0.65,1,134,2,63,0,3,1
43067,6080376,Brooklyn,Williamsburg,40.71322,-73.94655,Private room,1,18,5.4,1,49,0,12,0,1,1
19978,103841276,Brooklyn,Bushwick,40.69994,-73.93224,Private room,1,148,4.63,2,169,0,21,0,1,1
48159,250126499,Manhattan,Hell's Kitchen,40.75871,-73.99659,Entire home/apt,1,0,,1,8,1,7,1,2,0
48150,10407935,Manhattan,West Village,40.73635,-74.00223,Entire home/apt,1,0,,8,72,1,11,1,2,0
48492,213428885,Manhattan,Harlem,40.80707,-73.95242,Private room,20,0,,1,273,1,2,0,2,1
37514,17910174,Manhattan,West Village,40.73207,-74.00322,Entire home/apt,30,0,,1,0,1,11,1,2,0
22239,122924398,Manhattan,East Harlem,40.79424,-73.93495,Entire home/apt,1,123,4.54,1,84,1,4,1,2,0
20741,2488129,Manhattan,Greenwich Village,40.7286,-73.99971,Entire home/apt,1,81,2.64,1,258,1,52,1,2,0
22771,54548000,Brooklyn,Bedford-Stuyvesant,40.67795,-73.92524,Private room,1,70,2.79,2,220,0,6,0,1,1
37401,1472433,Brooklyn,Williamsburg,40.70758,-73.94134,Private room,5,1,0.13,2,10,0,12,0,1,1
37481,30240946,Manhattan,Washington Heights,40.85155,-73.92967,Private room,7,0,,1,0,1,30,0,2,1
21394,114552571,Staten Island,St. George,40.64332,-74.08283,Entire home/apt,2,116,4.0,1,191,3,41,1,4,0
44452,258460961,Manhattan,Upper East Side,40.77932,-73.94547,Entire home/apt,3,4,1.9,1,315,1,28,1,2,0
35628,92769975,Manhattan,Upper West Side,40.78883,-73.96848,Entire home/apt,8,2,0.22,1,8,1,8,1,2,0
14593,19249692,Manhattan,Chinatown,40.71659,-73.98949,Entire home/apt,3,92,2.28,1,48,1,9,1,2,0
15702,68930733,Manhattan,Inwood,40.86158,-73.92393,Private room,1,0,,1,0,1,18,0,2,1
1307,2805772,Brooklyn,Fort Greene,40.68522,-73.97771,Entire home/apt,2,11,0.13,1,0,0,13,1,1,0
10845,2128335,Brooklyn,Sunset Park,40.66198,-73.99785,Entire home/apt,5,9,0.2,1,0,0,79,1,1,0
23140,2733815,Brooklyn,Red Hook,40.67785,-74.00735,Entire home/apt,30,14,0.55,1,0,0,123,1,1,0
19780,7455706,Manhattan,East Village,40.72117,-73.97839,Private room,6,10,0.31,2,7,1,19,0,2,1
36200,5166260,Brooklyn,East Flatbush,40.65241,-73.95088,Private room,2,51,5.5,1,34,0,54,0,1,1
43472,223375402,Brooklyn,East New York,40.66067,-73.8931,Private room,2,1,0.53,4,354,0,70,0,1,1
36624,219465297,Queens,Jackson Heights,40.75491,-73.88313,Private room,2,10,1.15,1,5,2,83,0,3,1
48653,251802585,Brooklyn,Greenpoint,40.73192,-73.95839,Private room,5,0,,1,10,0,20,0,1,1
2996,9187795,Manhattan,Greenwich Village,40.73236,-73.9992,Entire home/apt,5,13,0.21,1,167,1,52,1,2,0
6239,6246089,Queens,Astoria,40.76587,-73.92157,Entire home/apt,5,27,0.5,1,2,2,56,1,3,0
35148,4336107,Brooklyn,Crown Heights,40.67436,-73.9551,Entire home/apt,4,6,0.61,1,4,0,15,1,1,0
31549,39528519,Manhattan,Lower East Side,40.70988,-73.98666,Private room,15,0,,28,185,1,23,0,2,1
22624,72603148,Staten Island,Stapleton,40.63464,-74.07842,Private room,1,13,0.48,3,362,3,93,0,4,1
24569,44358777,Manhattan,Upper West Side,40.79874,-73.9599,Private room,2,5,0.21,1,0,1,8,0,2,1
30739,137916804,Manhattan,Washington Heights,40.85395,-73.93335,Entire home/apt,4,31,2.16,1,286,1,30,1,2,0
6347,16437254,Brooklyn,Boerum Hill,40.68851,-73.98655,Entire home/apt,30,3,0.07,21,312,0,38,1,1,0
11355,1418015,Brooklyn,Crown Heights,40.67722,-73.95305,Private room,2,91,2.06,4,228,0,15,0,1,1
24216,804812,Brooklyn,Bay Ridge,40.62913,-74.01946,Entire home/apt,1,48,1.96,1,330,0,90,1,1,0
48015,270309706,Manhattan,Hell's Kitchen,40.76496,-73.98928,Entire home/apt,3,0,,1,167,1,7,1,2,0
36940,220479551,Queens,Astoria,40.75684,-73.91705,Private room,1,4,0.64,1,88,2,56,0,3,1
41752,182709,Manhattan,East Village,40.73147,-73.98825,Entire home/apt,1,8,6.49,1,65,1,19,1,2,0
13123,51009239,Brooklyn,South Slope,40.66249,-73.97921,Private room,1,1,0.02,1,0,0,10,0,1,1
24719,131777975,Brooklyn,Brownsville,40.66293,-73.91729,Private room,4,4,0.2,3,89,0,147,0,1,1
43023,29420917,Manhattan,Greenwich Village,40.72882,-74.00089,Entire home/apt,2,6,3.16,1,16,1,52,1,2,0
25542,15004693,Manhattan,Upper West Side,40.78304,-73.97309,Entire home/apt,2,2,0.09,1,0,1,8,1,2,0
6870,25242899,Brooklyn,Sunset Park,40.65616,-74.00091,Private room,4,42,0.82,1,261,0,79,0,1,1
17747,82719112,Manhattan,Upper West Side,40.78296,-73.97743,Entire home/apt,1,1,0.03,1,0,1,8,1,2,0
19420,3250450,Manhattan,Upper West Side,40.78895,-73.96754,Private room,31,2,0.06,18,249,1,8,0,2,1
6584,24587292,Brooklyn,Crown Heights,40.67507,-73.96092,Private room,7,0,,2,0,0,15,0,1,1
25457,46677826,Manhattan,Hell's Kitchen,40.76044,-73.99882,Entire home/apt,3,13,0.6,1,116,1,7,1,2,0
24249,124976906,Manhattan,Upper East Side,40.76959,-73.95338,Private room,3,17,0.74,1,0,1,28,0,2,1
30467,6503950,Brooklyn,Bushwick,40.69401,-73.90578,Private room,1,12,0.74,2,0,0,21,0,1,1
8298,252121,Brooklyn,Clinton Hill,40.68374,-73.96452,Entire home/apt,3,97,1.95,1,348,0,3,1,1,0
21759,15864671,Queens,Astoria,40.76984,-73.91815,Entire home/apt,4,0,,1,83,2,56,1,3,0
22013,387844,Brooklyn,Brooklyn Heights,40.69452,-73.99552,Entire home/apt,90,35,1.25,1,0,0,32,1,1,0
28363,160899890,Brooklyn,Midwood,40.61609,-73.95893,Private room,1,2,0.11,1,0,0,117,0,1,1
10086,40645778,Manhattan,Hell's Kitchen,40.76444,-73.98592,Entire home/apt,3,12,0.26,1,33,1,7,1,2,0
21958,8784337,Brooklyn,Bushwick,40.6937,-73.91006,Private room,5,3,0.11,1,0,0,21,0,1,1
48461,271624892,Manhattan,Hell's Kitchen,40.76356,-73.98823,Entire home/apt,1,0,,1,180,1,7,1,2,0
1108,2334269,Manhattan,Battery Park City,40.71012,-74.01504,Private room,2,8,0.13,1,0,1,101,0,2,1
14146,20408271,Brooklyn,Red Hook,40.67529,-74.01514,Entire home/apt,1,0,,2,0,0,123,1,1,0
46132,257623201,Brooklyn,Flatlands,40.6261,-73.94578,Entire home/apt,1,8,5.58,1,149,0,35,1,1,0
361,526805,Brooklyn,Gowanus,40.66918,-73.99187,Entire home/apt,7,98,0.99,1,35,0,34,1,1,0
24623,57571805,Manhattan,Midtown,40.75315,-73.97175,Entire home/apt,2,1,0.05,3,0,1,1,1,2,0
16247,47351539,Queens,South Ozone Park,40.67321,-73.79247,Entire home/apt,1,239,6.31,4,256,2,160,1,3,0
21568,57655724,Manhattan,Midtown,40.75598,-73.97034,Entire home/apt,2,64,2.36,1,131,1,1,1,2,0
20484,88152200,Manhattan,Harlem,40.79942,-73.95128,Entire home/apt,3,11,0.36,1,0,1,2,1,2,0
4534,15960720,Brooklyn,Flatbush,40.64056,-73.96571,Private room,10,0,,1,0,0,22,0,1,1
10266,8552927,Manhattan,Hell's Kitchen,40.76425,-73.99162,Private room,1,309,6.61,1,254,1,7,0,2,1
6968,25748492,Manhattan,East Village,40.72954,-73.98337,Entire home/apt,1,8,0.18,1,0,1,19,1,2,0
26679,12160369,Queens,Astoria,40.76761,-73.93567,Entire home/apt,9,6,0.42,1,15,2,56,1,3,0
43259,252642141,Brooklyn,Bedford-Stuyvesant,40.69421,-73.93834,Entire home/apt,2,3,1.5,1,117,0,6,1,1,0
37152,78339088,Queens,Corona,40.75047,-73.85374,Private room,1,26,3.45,1,115,2,162,0,3,1
27305,155818580,Queens,Ditmars Steinway,40.77219,-73.90269,Private room,2,71,3.46,1,60,2,49,0,3,1
16084,124866,Brooklyn,Cobble Hill,40.68985,-73.99311,Entire home/apt,5,18,0.87,1,2,0,36,1,1,0
39942,74841734,Manhattan,Hell's Kitchen,40.76676,-73.98953,Entire home/apt,6,2,1.43,1,11,1,7,1,2,0
41827,118566355,Brooklyn,Fort Greene,40.68875,-73.9761,Private room,2,1,1.0,1,83,0,13,0,1,1
22922,128914189,Brooklyn,Williamsburg,40.72034,-73.96031,Entire home/apt,30,0,,2,1,0,12,1,1,0
14936,6544323,Manhattan,East Harlem,40.78967,-73.94741,Entire home/apt,4,0,,1,0,1,4,1,2,0
27035,154984900,Queens,Woodside,40.74599,-73.89507,Private room,1,133,8.87,1,7,2,31,0,3,1
44115,48201791,Brooklyn,Flatbush,40.63927,-73.9636,Entire home/apt,4,9,3.97,2,328,0,22,1,1,0
16324,16708043,Brooklyn,Williamsburg,40.71066,-73.95726,Private room,1,42,1.14,1,0,0,12,0,1,1
25708,120762452,Manhattan,Murray Hill,40.74844,-73.97713,Entire home/apt,30,1,0.05,50,364,1,5,1,2,0
1072,9647066,Brooklyn,Sunset Park,40.6397,-74.0162,Private room,7,28,0.32,2,333,0,79,0,1,1
11125,1367316,Brooklyn,Prospect-Lefferts Gardens,40.66301,-73.95487,Entire home/apt,2,58,1.5,1,279,0,24,1,1,0
5947,14194388,Manhattan,East Harlem,40.79008,-73.94766,Private room,4,1,0.02,1,0,1,4,0,2,1
14296,57762390,Queens,Forest Hills,40.71813,-73.8386,Entire home/apt,2,1,0.03,1,0,2,63,1,3,0
24453,105375380,Bronx,Woodlawn,40.89785,-73.86977,Shared room,2,2,0.11,2,0,4,65,2,0,2
29921,13126043,Manhattan,Midtown,40.74422,-73.98473,Private room,2,29,1.67,2,74,1,1,0,2,1
45099,213604995,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93165,Private room,2,9,4.58,2,319,0,6,0,1,1
2933,8955761,Manhattan,Murray Hill,40.74722,-73.97734,Private room,1,0,,1,0,1,5,0,2,1
43060,178676648,Brooklyn,Bushwick,40.68355,-73.90701,Private room,1,1,0.38,1,88,0,21,0,1,1
31445,112843970,Brooklyn,Cypress Hills,40.67765,-73.89327,Entire home/apt,3,48,3.36,2,294,0,84,1,1,0
1179,2483293,Manhattan,SoHo,40.72701,-74.0011,Entire home/apt,3,9,0.1,1,0,1,27,1,2,0
43448,199833548,Queens,Briarwood,40.70741,-73.80838,Private room,1,11,3.79,9,342,2,94,0,3,1
6186,20627511,Queens,Jackson Heights,40.75034,-73.89215,Entire home/apt,3,0,,1,0,2,83,1,3,0
15523,16437254,Brooklyn,Prospect Heights,40.67631,-73.96635,Entire home/apt,30,1,0.09,21,61,0,29,1,1,0
43811,107434423,Manhattan,Upper West Side,40.78548,-73.97078,Entire home/apt,30,0,,232,202,1,8,1,2,0
16630,1713791,Brooklyn,Bushwick,40.70699,-73.92188,Entire home/apt,1,41,1.1,1,69,0,21,1,1,0
14394,58779931,Brooklyn,Williamsburg,40.71554,-73.94115,Entire home/apt,3,7,0.38,1,0,0,12,1,1,0
5810,21979970,Queens,Flushing,40.73303,-73.79736,Entire home/apt,7,9,0.16,1,268,2,37,1,3,0
22945,11380126,Brooklyn,Bushwick,40.69083,-73.9241,Private room,1,2,0.08,1,0,0,21,0,1,1
26840,29236921,Brooklyn,Bushwick,40.7005,-73.93827,Private room,2,16,0.76,1,0,0,21,0,1,1
40231,44217272,Bronx,Morris Heights,40.84613,-73.91668,Entire home/apt,2,18,3.02,1,6,4,105,1,0,0
1703,4070269,Queens,Ditmars Steinway,40.78027,-73.90821,Entire home/apt,28,0,,1,88,2,49,1,3,0
18846,94118056,Manhattan,Washington Heights,40.8419,-73.93866,Entire home/apt,3,10,0.29,1,188,1,30,1,2,0
20961,4494498,Manhattan,Harlem,40.80371,-73.94377,Entire home/apt,3,0,,1,0,1,2,1,2,0
32794,52525653,Manhattan,Harlem,40.80549,-73.95129,Private room,1,3,0.28,2,0,1,2,0,2,1
45072,141426597,Manhattan,Washington Heights,40.85768,-73.93247,Private room,3,4,2.4,3,180,1,30,0,2,1
26006,24417778,Brooklyn,Bedford-Stuyvesant,40.67927,-73.94758,Private room,4,1,0.05,1,0,0,6,0,1,1
8302,2881,Brooklyn,Bedford-Stuyvesant,40.68473,-73.946,Private room,2,110,2.63,2,220,0,6,0,1,1
28523,160647707,Brooklyn,Bedford-Stuyvesant,40.68518,-73.95328,Entire home/apt,3,4,0.21,1,0,0,6,1,1,0
38794,107434423,Manhattan,Financial District,40.70513,-74.009,Entire home/apt,30,0,,232,234,1,43,1,2,0
6873,23772724,Manhattan,Hell's Kitchen,40.76102,-73.98882,Entire home/apt,30,5,0.11,15,332,1,7,1,2,0
34947,92509169,Manhattan,Upper West Side,40.78348,-73.98383,Entire home/apt,2,18,1.74,1,1,1,8,1,2,0
26152,120762452,Manhattan,Murray Hill,40.74844,-73.97694,Entire home/apt,30,1,0.09,50,358,1,5,1,2,0
8923,14171882,Manhattan,Upper East Side,40.77372,-73.94986,Entire home/apt,1,6,0.12,1,0,1,28,1,2,0
32659,63266842,Manhattan,Upper East Side,40.76996,-73.9576,Entire home/apt,2,57,4.44,1,1,1,28,1,2,0
15998,49836177,Brooklyn,Williamsburg,40.71264,-73.94751,Private room,1,1,0.03,1,0,0,12,0,1,1
22598,126420866,Manhattan,Inwood,40.86396,-73.9267,Private room,5,2,0.08,1,0,1,18,0,2,1
5779,14565233,Brooklyn,Williamsburg,40.71543,-73.94159,Entire home/apt,2,3,0.05,1,0,0,12,1,1,0
20677,60617669,Manhattan,Midtown,40.75222,-73.97276,Entire home/apt,2,0,,4,0,1,1,1,2,0
15640,11732822,Brooklyn,Park Slope,40.67776,-73.9743,Entire home/apt,4,33,0.87,1,1,0,16,1,1,0
43999,235329443,Brooklyn,Boerum Hill,40.68438,-73.98436,Entire home/apt,3,12,6.55,1,173,0,38,1,1,0
9369,780952,Manhattan,Morningside Heights,40.80441,-73.96409,Entire home/apt,2,7,0.15,1,0,1,45,1,2,0
23311,62734,Brooklyn,Gowanus,40.67882,-73.99166,Entire home/apt,60,4,0.19,2,156,0,34,1,1,0
42968,114461769,Brooklyn,Bedford-Stuyvesant,40.69647,-73.94248,Private room,5,0,,1,37,0,6,0,1,1
22626,114548258,Manhattan,SoHo,40.72615,-74.00097,Entire home/apt,1,83,3.19,2,214,1,27,1,2,0
4215,13347167,Manhattan,Upper East Side,40.77249,-73.95756,Entire home/apt,30,3,0.09,29,298,1,28,1,2,0
40740,236896088,Manhattan,Chelsea,40.74125,-73.99876,Entire home/apt,2,4,0.85,1,6,1,14,1,2,0
7337,25237492,Manhattan,Upper East Side,40.76235,-73.96005,Entire home/apt,30,9,0.18,34,342,1,28,1,2,0
21337,570464,Manhattan,Harlem,40.80926,-73.95419,Entire home/apt,4,8,0.74,1,42,1,2,1,2,0
45340,22336945,Manhattan,East Village,40.72545,-73.98212,Entire home/apt,2,1,1.0,1,0,1,19,1,2,0
2397,3274316,Manhattan,Harlem,40.8004,-73.95645,Private room,1,85,1.15,1,301,1,2,0,2,1
21814,22607793,Brooklyn,Clinton Hill,40.68152,-73.96276,Entire home/apt,2,10,0.39,1,0,0,3,1,1,0
5981,510577,Brooklyn,Bedford-Stuyvesant,40.68578,-73.93965,Entire home/apt,3,207,3.76,1,151,0,6,1,1,0
22202,2581995,Brooklyn,Bedford-Stuyvesant,40.68003,-73.91701,Private room,4,10,1.06,2,7,0,6,0,1,1
41312,1458110,Manhattan,Greenwich Village,40.72722,-73.99914,Private room,3,2,0.41,2,5,1,52,0,2,1
20177,21877498,Brooklyn,Bushwick,40.70272,-73.93005,Entire home/apt,3,0,,2,0,0,21,1,1,0
9917,15192120,Manhattan,West Village,40.73866,-74.00537,Entire home/apt,3,0,,1,0,1,11,1,2,0
37730,190921808,Manhattan,Hell's Kitchen,40.75511,-73.99532,Private room,7,4,0.59,47,365,1,7,0,2,1
30669,83899060,Brooklyn,Flatbush,40.64448,-73.96397,Entire home/apt,4,20,1.25,1,328,0,22,1,1,0
45037,74514078,Manhattan,Washington Heights,40.8362,-73.94063,Private room,3,5,3.0,1,33,1,30,0,2,1
23233,120762452,Manhattan,Murray Hill,40.75044,-73.9753,Entire home/apt,30,4,0.18,50,180,1,5,1,2,0
3108,1512462,Manhattan,Midtown,40.7525,-73.96492,Entire home/apt,4,130,1.92,2,270,1,1,1,2,0
17235,13074730,Brooklyn,Flatbush,40.64503,-73.96027,Private room,1,0,,1,0,0,22,0,1,1
36270,4722955,Manhattan,Financial District,40.70665,-74.01503,Entire home/apt,30,1,0.16,1,54,1,43,1,2,0
29267,132883674,Manhattan,Washington Heights,40.84777,-73.94241,Entire home/apt,1,3,0.17,3,0,1,30,1,2,0
10509,1100659,Brooklyn,Bushwick,40.7052,-73.91549,Private room,1,107,3.04,1,340,0,21,0,1,1
28765,13773574,Manhattan,Midtown,40.76563,-73.98242,Entire home/apt,30,0,,12,340,1,1,1,2,0
32640,59980195,Manhattan,Gramercy,40.73467,-73.98501,Entire home/apt,3,0,,1,0,1,68,1,2,0
16263,72839296,Queens,Long Island City,40.76235,-73.92973,Entire home/apt,2,16,0.44,1,0,2,25,1,3,0
22431,124886133,Manhattan,Upper East Side,40.76982,-73.95258,Entire home/apt,30,2,0.08,1,120,1,28,1,2,0
15080,52474491,Brooklyn,Sea Gate,40.57804,-74.01024,Entire home/apt,1,1,0.03,3,0,0,137,1,1,0
3909,571080,Brooklyn,Bushwick,40.6998,-73.92913,Entire home/apt,1,12,0.19,1,0,0,21,1,1,0
26973,8480056,Manhattan,SoHo,40.72706,-74.00476,Entire home/apt,2,17,0.84,1,6,1,27,1,2,0
26053,83948710,Brooklyn,Bushwick,40.70256,-73.92094,Private room,1,79,3.56,2,178,0,21,0,1,1
855,1550578,Manhattan,Harlem,40.80637,-73.95433,Private room,2,44,0.49,1,260,1,2,0,2,1
20265,7618966,Manhattan,Nolita,40.72243,-73.996,Entire home/apt,1,0,,1,0,1,64,1,2,0
43652,26071530,Brooklyn,Crown Heights,40.67533,-73.94889,Entire home/apt,2,6,2.54,2,0,0,15,1,1,0
29386,165603002,Brooklyn,Greenpoint,40.73767,-73.95732,Private room,6,3,0.16,1,0,0,20,0,1,1
13674,2348712,Brooklyn,Williamsburg,40.70727,-73.96057,Private room,2,2,0.06,1,0,0,12,0,1,1
36540,171214206,Manhattan,Morningside Heights,40.80445,-73.96373,Private room,1,29,3.33,3,8,1,45,0,2,1
4010,9372538,Manhattan,Hell's Kitchen,40.76152,-73.98793,Private room,1,158,3.11,2,78,1,7,0,2,1
37733,212328883,Brooklyn,Williamsburg,40.71719,-73.95757,Entire home/apt,2,39,5.0,1,34,0,12,1,1,0
48377,211353297,Manhattan,East Harlem,40.80396,-73.94038,Entire home/apt,3,0,,1,25,1,4,1,2,0
25942,75587530,Manhattan,Upper East Side,40.78079,-73.95499,Private room,10,0,,2,0,1,28,0,2,1
47045,265662009,Manhattan,Upper East Side,40.77065,-73.96675,Entire home/apt,7,0,,3,270,1,28,1,2,0
39953,230025652,Queens,St. Albans,40.70522,-73.75063,Private room,2,11,1.72,4,3,2,85,0,3,1
41179,240194042,Manhattan,Harlem,40.8235,-73.95391,Private room,21,0,,1,0,1,2,0,2,1
9498,97580,Queens,Long Island City,40.7631,-73.92936,Private room,3,137,2.84,1,8,2,25,0,3,1
48115,25279755,Manhattan,Kips Bay,40.74413,-73.97993,Private room,2,0,,1,17,1,26,0,2,1
19274,57954964,Manhattan,Inwood,40.86906,-73.9173,Private room,2,7,0.23,1,155,1,18,0,2,1
17129,78285810,Manhattan,Midtown,40.75494,-73.96738,Entire home/apt,4,0,,1,0,1,1,1,2,0
31488,4576234,Brooklyn,Crown Heights,40.67535,-73.94992,Private room,2,1,0.16,1,0,0,15,0,1,1
4810,2574806,Brooklyn,Bushwick,40.69349,-73.92211,Entire home/apt,2,1,0.02,1,0,0,21,1,1,0
1969,1603942,Brooklyn,Fort Greene,40.68681,-73.97675,Entire home/apt,29,86,1.1,2,125,0,13,1,1,0
34724,7129207,Manhattan,Hell's Kitchen,40.76337,-73.9873,Entire home/apt,2,58,5.21,1,124,1,7,1,2,0
1234,2589521,Manhattan,Flatiron District,40.74129,-73.98374,Entire home/apt,3,26,0.32,1,341,1,50,1,2,0
16121,71853402,Brooklyn,Prospect-Lefferts Gardens,40.65719,-73.95245,Private room,1,14,0.37,2,304,0,24,0,1,1
47101,255259069,Manhattan,Harlem,40.82586,-73.95296,Entire home/apt,31,0,,2,333,1,2,1,2,0
3525,10575680,Manhattan,Murray Hill,40.74961,-73.97865,Private room,2,10,0.32,2,0,1,5,0,2,1
27294,48087870,Manhattan,Upper West Side,40.79741,-73.9697,Private room,2,27,1.33,1,63,1,8,0,2,1
47961,258091747,Manhattan,Upper West Side,40.79577,-73.97377,Entire home/apt,4,0,,1,248,1,8,1,2,0
14658,61175876,Brooklyn,Bushwick,40.69549,-73.92249,Entire home/apt,4,97,2.42,2,250,0,21,1,1,0
7217,153675,Manhattan,East Village,40.73279,-73.98746,Entire home/apt,12,1,0.02,2,164,1,19,1,2,0
31375,714531,Brooklyn,Prospect-Lefferts Gardens,40.65618,-73.95664,Private room,4,26,1.81,1,73,0,24,0,1,1
21567,114890218,Manhattan,Hell's Kitchen,40.76269,-73.99139,Entire home/apt,7,20,0.71,1,23,1,7,1,2,0
4250,251842,Brooklyn,Bedford-Stuyvesant,40.68211,-73.93876,Entire home/apt,31,1,0.04,1,333,0,6,1,1,0
28053,18462292,Manhattan,Midtown,40.76699,-73.98174,Entire home/apt,7,2,0.1,1,0,1,1,1,2,0
36794,171630463,Brooklyn,Greenpoint,40.73812,-73.95649,Entire home/apt,3,4,0.47,1,0,0,20,1,1,0
44026,43502871,Manhattan,Inwood,40.86517,-73.92995,Private room,3,0,,1,216,1,18,0,2,1
12200,4052055,Manhattan,East Village,40.724,-73.98376,Private room,1,1,0.02,1,0,1,19,0,2,1
27606,158054102,Manhattan,Harlem,40.83139,-73.94672,Private room,2,68,3.38,3,49,1,2,0,2,1
44288,257842396,Brooklyn,Greenpoint,40.72468,-73.94042,Entire home/apt,2,1,1.0,1,0,0,20,1,1,0
29041,64018594,Manhattan,Harlem,40.80966,-73.95299,Private room,1,1,0.05,2,0,1,2,0,2,1
47836,270358676,Manhattan,Upper East Side,40.7789,-73.95554,Entire home/apt,4,1,1.0,1,314,1,28,1,2,0
45231,163603458,Queens,Queens Village,40.72052,-73.73628,Entire home/apt,1,15,7.63,2,46,2,61,1,3,0
11096,45203510,Manhattan,Tribeca,40.72075,-74.00982,Private room,1,0,,1,0,1,77,0,2,1
41763,130827164,Manhattan,Upper East Side,40.7718,-73.95556,Private room,2,5,1.4,2,345,1,28,0,2,1
24693,23027289,Brooklyn,Clinton Hill,40.68386,-73.9627,Private room,1,2,0.09,1,0,0,3,0,1,1
13978,4966907,Brooklyn,Bedford-Stuyvesant,40.69506,-73.95019,Entire home/apt,3,41,1.0,1,0,0,6,1,1,0
28114,33261598,Manhattan,Midtown,40.7436,-73.98573,Shared room,1,2,0.11,1,0,1,1,2,2,2
18013,67252331,Brooklyn,South Slope,40.66414,-73.98507,Entire home/apt,2,16,0.45,1,1,0,10,1,1,0
32757,63417081,Manhattan,Harlem,40.82375,-73.94426,Private room,30,1,0.58,8,310,1,2,0,2,1
18973,72572525,Queens,Astoria,40.76145,-73.92273,Private room,3,6,0.18,2,10,2,56,0,3,1
5095,8200795,Manhattan,Nolita,40.72168,-73.99544,Entire home/apt,3,51,0.88,1,55,1,64,1,2,0
19130,96677104,Manhattan,Hell's Kitchen,40.76615,-73.98408,Private room,15,0,,1,0,1,7,0,2,1
18056,9293730,Manhattan,Upper East Side,40.77007,-73.9569,Entire home/apt,30,12,0.38,16,339,1,28,1,2,0
4985,3771272,Brooklyn,Bedford-Stuyvesant,40.68652,-73.95031,Entire home/apt,2,60,1.0,1,156,0,6,1,1,0
1021,2714164,Brooklyn,Greenpoint,40.72212,-73.94389,Entire home/apt,6,39,0.47,2,258,0,20,1,1,0
46468,48194192,Brooklyn,Clinton Hill,40.69367,-73.96424,Entire home/apt,28,0,,4,138,0,3,1,1,0
41845,168814318,Queens,Jamaica Estates,40.71894,-73.78188,Entire home/apt,2,15,4.46,1,94,2,155,1,3,0
19321,8113117,Brooklyn,Williamsburg,40.71228,-73.95323,Private room,2,181,5.42,1,52,0,12,0,1,1
32562,192583202,Brooklyn,Brownsville,40.65832,-73.90486,Private room,1,1,0.1,1,0,0,147,0,1,1
26873,100354001,Queens,Rosedale,40.6598,-73.73316,Entire home/apt,1,76,3.64,1,65,2,183,1,3,0
32889,12243051,Manhattan,Murray Hill,40.74388,-73.97193,Entire home/apt,29,1,0.26,96,347,1,5,1,2,0
12182,48970186,Brooklyn,Carroll Gardens,40.68315,-73.99387,Entire home/apt,4,128,2.89,2,0,0,33,1,1,0
37548,103216104,Brooklyn,Bedford-Stuyvesant,40.68409,-73.94965,Private room,7,1,0.12,1,0,0,6,0,1,1
17984,5725732,Brooklyn,Kensington,40.64023,-73.9717,Private room,2,1,0.03,1,0,0,0,0,1,1
5164,4830699,Brooklyn,Gowanus,40.6779,-73.98421,Entire home/apt,1,9,0.23,1,0,0,34,1,1,0
44893,260191397,Manhattan,Theater District,40.75745,-73.98596,Private room,1,7,4.04,7,296,1,71,0,2,1
4874,17299359,Brooklyn,Bedford-Stuyvesant,40.68448,-73.95854,Entire home/apt,3,4,0.07,2,365,0,6,1,1,0
7352,420993,Brooklyn,Williamsburg,40.71813,-73.95758,Entire home/apt,3,0,,1,0,0,12,1,1,0
38721,107434423,Manhattan,Theater District,40.75971,-73.98551,Entire home/apt,30,0,,232,266,1,71,1,2,0
6650,1725974,Brooklyn,Williamsburg,40.70973,-73.96056,Private room,1,0,,1,0,0,12,0,1,1
43388,192956786,Manhattan,East Village,40.72585,-73.98831,Private room,4,9,3.14,1,48,1,19,0,2,1
9510,38284667,Manhattan,East Village,40.72819,-73.98589,Private room,1,1,0.02,2,0,1,19,0,2,1
15795,1722054,Queens,Long Island City,40.74657,-73.94555,Entire home/apt,5,1,0.03,1,0,2,25,1,3,0
12715,30968452,Brooklyn,Bushwick,40.68881,-73.92017,Private room,3,5,0.12,1,365,0,21,0,1,1
3630,5716241,Brooklyn,Williamsburg,40.71328,-73.95154,Entire home/apt,2,6,0.1,1,0,0,12,1,1,0
